week,letter,day,classes,room,lesson,notes,hwk,event,time,break,lunch
5,A,FRI,11C2,G4,3,"COVER: New Seneca assignment on Energy topic, class code lggl2r7jc8 - pupil link on Go4", , ,1100  1220,11:40, 
5,A,FRI,11CS,G4,4,MOCK exam,*, ,1220  1355, ,13:25
5,A,FRI,11CS,G4,5,MOCK exam, , ,1355  1510, , 
6,B,MON,10C3,B8,1,"COVER: Forces - Representing forces, lesson tasks on Go4", ,briefing,0850  0955, , 
6,B,MON,11T2,B8,2,"COVER: Three revision lessons on Work, Energy and Power, posted on Go4.",*, ,0955  1100, , 
6,B,MON,7X1.Ph,B8,3,COVER: Y7 Forces - 'Drag' - lesson on Go4  ,*, ,1100  1220,11:00, 
6,B,MON,PPA,-,4,..., , ,1220  1355, , 
6,B,MON,10CS,B8,5,"COVER: Intoducing algorithms, https://www.bbc.co.uk/bitesize/guides/z22wwmn/revision/1, work through the six pages and then try the test. The, try the psuedocode challenges on the PDF. All links on Go4.", , ,1355  1510, , 
6,B,TUE,10C3,B8,1,"COVER: Newton's First Law , straight and circular motion - lesson on Go4", , ,0850  0955, , 
6,B,TUE,9Y1.CS,G4,2,COVER: Y9 Autumn 1 Lesson 5 - Digital Sound - lesson posted on Go4 , , ,0955  1100, , 
6,B,TUE,11C2,B8,3,"COVER: Revision lessons on Energy, Work and Power - posted on Go4       ", , ,1100  1220,11:40, 
6,B,TUE,11T2,G4,4,COVER: Practice sample exam 6 mark questions on Space - resource on Go4, , ,1220  1355, ,13:25
6,B,TUE,8Y1.Ph,B8,5,COVER: Continue adding to Powerpoint already begun by including information from the Kerboodle Checkpoint revision tasks PDF file which has been posted on Go4, , ,1355  1510, , 
6,B,WED,11C2,B8,1,"COVER: Complete outstanding work on Seneca assignments, referencing Go4 posts if necessary", , ,0850  0955, , 
6,B,WED,10T2,B5,2,"COVER: Newtons First Law - HTML file attached to email, which could be used as a printed worksheet and/or shown on the board by the teacher - A3 paper will be needed", , ,0955  1100, , 
6,B,WED,9Y2.Ph,B3,3,COVER: EoY assessment, ,break duty,1100  1220,11:00, 
6,B,WED,11CS,G4,4,"COVER: Assuming class did exam last Friday, they can do the re-posted work on Go4", , ,1220  1355, ,13:25
6,B,WED,11CS,G4,5,As per last lesson, , ,1355  1510, , 
6,B,THU,8Y1.Ph,B8,1,EoY assessment, ,briefing,0850  0955, , 
6,B,THU,10C3,B8,2,COVER: Newton's Second Law - Lesson with tasks posted on Go4,*, ,0955  1100, , 
6,B,THU,10T2,B8,3,COVER: Newton's Second Law - Lesson with tasks posted on Go4, , ,1100  1220,11:20, 
6,B,THU,7Y1.Ph,B5,4,"P1 1.4 Forces at a Distance, Activate 1 p118-119 - Do tasks A,B,C and Qu 1,2,3 and 4 (with illustrations for 4)", , ,1220  1355, ,12:20
6,B,THU,8X1.Ph,B3,5,EoY assessment,*, ,1355  1510, , 
6,B,FRI,PPA,-,1,..., , ,0850  0955, , 
6,B,FRI,11T2,B8,2,COVER: Revise for mock exam, , ,0955  1100, , 
6,B,FRI,PPA,-,3,..., , ,1100  1220, , 
6,B,FRI,10CS,G4,4,COVER: Exercises on python operators, , ,1220  1355, ,12:50
